role,seed,physical_source,diagnosis,candidate_label,suite,maximum_gain_compensation,minimum_gain_remaining,estimated_severity,severity_uncertainty,expected_multiplier,applied_multiplier_mean,applied_multiplier_max_error,run_id,j_5s,predecision_hash,classification_evaluations,recovery_command_changed_steps,predecision_command_changed_steps,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain
assessment,17103,actuator,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17103-actuator-oracle-cap3_floor0p25,0.8837348754502166,8a5152299d2dc424f7777e13cd9cd99bc1d7e773c92897825749c4ce4cc94d39,1,1864,0,0,0,1.1530356506115593,10.900552322326007
assessment,17103,actuator,C1,cap5_floor0p20,C1,5.0,0.2,0.25393550352593497,0.008584677993439312,3.9380078252739,3.9380078252738997,4.440892098500626e-16,actuator-recovery-assessment-17103-actuator-C1-cap5_floor0p20,0.8513921479918006,8a5152299d2dc424f7777e13cd9cd99bc1d7e773c92897825749c4ce4cc94d39,1,1864,0,0,0,1.2682951129789966,11.18289052048027
assessment,17103,actuator,S,cap5_floor0p20,S,5.0,0.2,0.25723358016105213,0.010183117225236724,3.8875173271464285,3.887517327146428,4.440892098500626e-16,actuator-recovery-assessment-17103-actuator-S-cap5_floor0p20,0.8531315205436459,8a5152299d2dc424f7777e13cd9cd99bc1d7e773c92897825749c4ce4cc94d39,1,1864,0,0,0,1.239186682152966,10.850083129412269
assessment,17103,actuator,C1,cap5_floor0p25,C1,5.0,0.25,0.25393550352593497,0.008584677993439312,3.9380078252739,3.9380078252738997,4.440892098500626e-16,actuator-recovery-assessment-17103-actuator-C1-cap5_floor0p25,0.8513921479918006,8a5152299d2dc424f7777e13cd9cd99bc1d7e773c92897825749c4ce4cc94d39,1,1864,0,0,0,1.2682951129789966,11.18289052048027
assessment,17103,actuator,S,cap5_floor0p25,S,5.0,0.25,0.25723358016105213,0.010183117225236724,3.8875173271464285,3.887517327146428,4.440892098500626e-16,actuator-recovery-assessment-17103-actuator-S-cap5_floor0p25,0.8531315205436459,8a5152299d2dc424f7777e13cd9cd99bc1d7e773c92897825749c4ce4cc94d39,1,1864,0,0,0,1.239186682152966,10.850083129412269
assessment,17103,actuator,no_action,reference,S,3.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-assessment-17103-actuator-no_action-reference,1.0582279047177365,8a5152299d2dc424f7777e13cd9cd99bc1d7e773c92897825749c4ce4cc94d39,1,0,0,0,0,0.09468533570658993,3.87023023840749
assessment,17103,healthy,C1,cap3_floor0p25,C1,3.0,0.25,0.25393550352593497,0.008584677993439312,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17103-healthy-C1-cap3_floor0p25,0.7891554130658717,a8b9a1e08d2b6b784664c74b734fc6fc6271f7edda2e94966df4963c719bb2e0,1,1864,0,0,0,2.058483544380607,18.973543174229945
assessment,17103,healthy,S,cap3_floor0p25,S,3.0,0.25,0.25723358016105213,0.010183117225236724,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17103-healthy-S-cap3_floor0p25,0.7891554130658717,a8b9a1e08d2b6b784664c74b734fc6fc6271f7edda2e94966df4963c719bb2e0,1,1864,0,0,0,2.058483544380607,18.973543174229945
assessment,17103,healthy,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17103-healthy-oracle-cap3_floor0p25,0.7891554130658717,a8b9a1e08d2b6b784664c74b734fc6fc6271f7edda2e94966df4963c719bb2e0,1,1864,0,0,0,2.058483544380607,18.973543174229945
assessment,17103,healthy,C1,cap5_floor0p20,C1,5.0,0.2,0.25393550352593497,0.008584677993439312,3.9380078252739,3.9380078252738997,4.440892098500626e-16,actuator-recovery-assessment-17103-healthy-C1-cap5_floor0p20,0.7746465105963241,a8b9a1e08d2b6b784664c74b734fc6fc6271f7edda2e94966df4963c719bb2e0,1,1864,0,181,0,2.1957650072658845,606.2650937210811
assessment,17103,healthy,S,cap5_floor0p20,S,5.0,0.2,0.25723358016105213,0.010183117225236724,3.8875173271464285,3.887517327146428,4.440892098500626e-16,actuator-recovery-assessment-17103-healthy-S-cap5_floor0p20,0.7753428185781246,a8b9a1e08d2b6b784664c74b734fc6fc6271f7edda2e94966df4963c719bb2e0,1,1863,0,0,0,2.5055301893521005,42.99163691507513
assessment,17103,healthy,C1,cap5_floor0p25,C1,5.0,0.25,0.25393550352593497,0.008584677993439312,3.9380078252739,3.9380078252738997,4.440892098500626e-16,actuator-recovery-assessment-17103-healthy-C1-cap5_floor0p25,0.7746465105963241,a8b9a1e08d2b6b784664c74b734fc6fc6271f7edda2e94966df4963c719bb2e0,1,1864,0,181,0,2.1957650072658845,606.2650937210811
assessment,17103,healthy,S,cap5_floor0p25,S,5.0,0.25,0.25723358016105213,0.010183117225236724,3.8875173271464285,3.887517327146428,4.440892098500626e-16,actuator-recovery-assessment-17103-healthy-S-cap5_floor0p25,0.7753428185781246,a8b9a1e08d2b6b784664c74b734fc6fc6271f7edda2e94966df4963c719bb2e0,1,1863,0,0,0,2.5055301893521005,42.99163691507513
assessment,17103,healthy,no_action,reference,S,3.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-assessment-17103-healthy-no_action-reference,0.8609955888778595,a8b9a1e08d2b6b784664c74b734fc6fc6271f7edda2e94966df4963c719bb2e0,1,0,0,0,0,2.086582214308634,19.9418692993536
