task_torque_scale,peak_load_n,onset_offset_steps,onset_index,suite,window,stride,decision_lag_steps,safety_screen_pass,sync_vector_nonzero,detect_threshold,false_alarm_rate,minimum_fault_detection_rate,structure_detection_rate,actuator_detection_rate,sensor_detection_rate,macro_attribution_accuracy,structure_attribution_accuracy,actuator_attribution_accuracy,sensor_attribution_accuracy
0.4,0.05,5,505,C1,640,4,3,True,True,1.5009863719601746,0.16666666666666666,0.08333333333333333,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,C1,640,8,7,True,True,1.783120060344984,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,C1,640,16,7,True,True,1.783120060344984,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,C1,768,4,3,True,True,1.6206701604114964,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,C1,768,8,7,True,True,1.6035451232130558,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,C1,768,16,7,True,True,1.6035451232130558,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,S,512,4,3,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,5,505,S,512,8,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,5,505,S,512,16,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,5,505,S,640,4,3,True,True,1.7131552634110994,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,S,640,8,7,True,True,1.8651481131797463,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,S,640,16,7,True,True,1.8651481131797463,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,S,768,4,3,True,True,1.6588727673126842,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,S,768,8,7,True,True,1.6324931042499644,0.0,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,5,505,S,768,16,7,True,True,1.6324931042499644,0.0,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,11,511,C1,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,11,511,C1,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,11,511,C1,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,11,511,C1,640,4,1,True,True,1.9445509581615787,0.08333333333333333,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.05,11,511,C1,640,8,1,True,True,1.9445509581615787,0.08333333333333333,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.05,11,511,C1,640,16,1,True,True,1.9445509581615787,0.08333333333333333,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.05,11,511,C1,768,4,1,True,True,1.4460654009229699,0.3333333333333333,0.5833333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,11,511,C1,768,8,1,True,True,1.4460654009229699,0.3333333333333333,0.5833333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,11,511,C1,768,16,1,True,True,1.4460654009229699,0.3333333333333333,0.5833333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,11,511,S,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,11,511,S,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,11,511,S,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.05,11,511,S,640,4,1,True,True,1.8070414973558002,0.08333333333333333,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.05,11,511,S,640,8,1,True,True,1.8070414973558002,0.08333333333333333,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.05,11,511,S,640,16,1,True,True,1.8070414973558002,0.08333333333333333,0.8333333333333334,0.8333333333333334,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.05,11,511,S,768,4,1,True,True,1.482125345687492,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,11,511,S,768,8,1,True,True,1.482125345687492,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.05,11,511,S,768,16,1,True,True,1.482125345687492,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,C1,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,0,500,C1,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,0,500,C1,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,0,500,C1,640,4,0,True,True,1.5984153712978901,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,C1,640,8,4,True,True,1.608680211406095,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,C1,640,16,12,True,True,1.7600220944522458,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,C1,768,4,0,True,True,1.7221042182120834,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,C1,768,8,4,True,True,1.7678511805125892,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,C1,768,16,12,True,True,2.041395843834056,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,S,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,0,500,S,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,0,500,S,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,0,500,S,640,4,0,True,True,1.7597115588370518,0.0,0.4166666666666667,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,S,640,8,4,True,True,1.7564780075118371,0.0,0.4166666666666667,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,S,640,16,12,True,True,1.6855493101532348,0.08333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,S,768,4,0,True,True,1.8463306495566532,0.08333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,S,768,8,4,True,True,1.8453547043480087,0.08333333333333333,0.5833333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,0,500,S,768,16,12,True,True,2.1163254612926377,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,C1,512,4,3,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,5,505,C1,512,8,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,5,505,C1,512,16,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,5,505,C1,640,4,3,True,True,1.8974733353936253,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,C1,640,8,7,True,True,2.0391768193019213,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,C1,640,16,7,True,True,2.0391768193019213,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,C1,768,4,3,True,True,1.704435010702546,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,C1,768,8,7,True,True,1.8095862553045148,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,C1,768,16,7,True,True,1.8095862553045148,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,S,512,4,3,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,5,505,S,512,8,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,5,505,S,512,16,7,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,5,505,S,640,4,3,True,True,1.7661089964631678,0.08333333333333333,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,S,640,8,7,True,True,1.9075079761672231,0.0,0.5833333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,S,640,16,7,True,True,1.9075079761672231,0.0,0.5833333333333334,0.5833333333333334,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,S,768,4,3,True,True,1.5925060320861641,0.08333333333333333,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,S,768,8,7,True,True,1.6923174037535789,0.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,5,505,S,768,16,7,True,True,1.6923174037535789,0.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,C1,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,11,511,C1,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,11,511,C1,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,11,511,C1,640,4,1,True,True,1.7892737073400646,0.08333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,C1,640,8,1,True,True,1.7892737073400646,0.08333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,C1,640,16,1,True,True,1.7892737073400646,0.08333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,C1,768,4,1,True,True,1.7885532361712535,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,C1,768,8,1,True,True,1.7885532361712535,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,C1,768,16,1,True,True,1.7885532361712535,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,S,512,4,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,11,511,S,512,8,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,11,511,S,512,16,1,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.025,11,511,S,640,4,1,True,True,1.8903288743689088,0.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,S,640,8,1,True,True,1.8903288743689088,0.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,S,640,16,1,True,True,1.8903288743689088,0.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,S,768,4,1,True,True,1.6874381099331386,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,S,768,8,1,True,True,1.6874381099331386,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.025,11,511,S,768,16,1,True,True,1.6874381099331386,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
